LigandID,lowest_binding_affinity
CHEMBL3983491,No Data
CHEMBL4108810,No Data
CHEMBL4108349,No Data
CHEMBL4111692,No Data
Berberine,No Data
CHEMBL3933251,No Data
CHEMBL3954907,No Data
CHEMBL4108309,No Data
Pseudoberberine,No Data
CHEMBL4115276,No Data
CHEMBL3948897,No Data
CHEMBL3921896,No Data
CHEMBL4112187,No Data
CHEMBL4112959,No Data
CHEMBL4112013,No Data
CHEMBL3917205,No Data
CHEMBL4109776,No Data
CHEMBL4106759,No Data
CHEMBL3942706,No Data
CHEMBL4115651,No Data
CHEMBL4107904,No Data
MK-8722,No Data
CHEMBL4115139,No Data
CHEMBL4111464,No Data
CHEMBL4109595,No Data
CHEMBL4110796,No Data
CHEMBL3974541,No Data
CHEMBL2323522,No Data
CHEMBL4109888,No Data
CHEMBL4114253,No Data
CHEMBL4071175,No Data
CHEMBL4108236,No Data
CHEMBL4109999,No Data
CHEMBL4107245,No Data
CHEMBL3893471,No Data
Kazinol C,No Data
CHEMBL4112726,No Data
CHEMBL3985364,No Data
CHEMBL4212217,No Data
CHEMBL3927536,No Data
Adenosine monophosphate,No Data
CHEMBL4212772,No Data
Chelidonin,No Data
CHEMBL4104303,No Data
CHEMBL4203380,No Data
beta-lapachone,No Data
CHEMBL3927673,No Data
CHEMBL3950813,No Data
CHEMBL4217199,No Data
CHEMBL3936111,No Data
CHEMBL3975968,No Data
CHEMBL3895195,No Data
CHEMBL3978662,No Data
CHEMBL4216662,No Data
Kahweol ,No Data
CHEMBL3741589,No Data
CHEMBL3894037,No Data
PF-249,No Data
Obovatol,No Data
Pronuciferine,No Data
Scopoletin,No Data
CHEMBL3986249,No Data
CHEMBL3940764,No Data
Esculetin,No Data
CHEMBL3971682,No Data
Abscisic Acid,No Data
CHEMBL3972626,No Data
Lutein,No Data
Donepezil ,No Data
CHEMBL3968290,No Data
Calebin A,No Data
Lysophosphatidic acid,No Data
Berteroin ,No Data
Amarogentin,No Data
Bisphenol A,No Data
CHEMBL3931764,No Data
Rohitukine,No Data
Myricanol,No Data
Daphnetin,No Data
Osthole,No Data
okadaic acid,No Data
Deguelin,No Data
Diethylstilbestrol,No Data
CHEMBL4211146,No Data
Homocysteine sulfinic acid,No Data
Combretastatin A4,No Data
Roflupram,No Data
Dibenzoylmethane,No Data
NAcetyl-L-cysteine,No Data
Schizandrin B,No Data
beta-patchoulene,No Data
Andrographolide ,No Data
Rottlerin,No Data
Palmitate,No Data
Pterostilbene,No Data
Oleic acis,No Data
CHEMBL4249790,No Data
alpha linoleic acid,No Data
Creatine,No Data
Gamma linolenic acid,No Data
alpha linolenic acid,No Data
Micheliolide,No Data
CHEMBL3918226,No Data
S-Petasin,No Data
Piceatannol,No Data
Artemether,No Data
Tiliroside,No Data
Compound 127,No Data
Chicoric acid,No Data
Resveratrol,No Data
Alisol A,No Data
Damulin B,No Data
Kudinoside D,No Data
Farnesol,No Data
calcitriol,No Data
Tormentic acid,No Data
Ilexgenin A,No Data
Ginsenoide Rh2,No Data
eicosapentaenoic acid,No Data
Damulin A,No Data
Fridamycin A,No Data
Ginsenoide Rg3,No Data
Entagenic acid,No Data
Bryodulcosigenin,No Data
Gnetol,No Data
Maslinic acid,No Data
4a-Isoalantolactone,No Data
trans-caryophyllene,No Data
EMCD,No Data
Corosolic acid,No Data
Pomolic acid,No Data
Oleanolic acid,No Data
Ginsenoide Rc,No Data
Nootkatone,No Data
Ginsenoside mRc,No Data
Vitamin D3,No Data
Solasonine ,No Data
Astragaloside IV,No Data
beta-hydroxy-beta-methylbutyrate,No Data
fatsiaside A,No Data
 2-arachidonoylglycerol,No Data
cimiracemoside C,No Data
Petasin,No Data
verbascoside,No Data
Timosaponin AIII,No Data
Bryogenin,No Data
eugenyl beta-D-glucopyranoside,No Data
Ursolic acid,No Data
plectranthoic acid,No Data
testosterone,No Data
Maresin 1 ,No Data
20(S)-protopanaxadiol,No Data
Kinsenoside,No Data
Resolvin D1,No Data
Pinocembrin-7-O-beta-d-glucoside,No Data
protectin DX,No Data
Crocetin,No Data
(+)-antroquinonol,No Data
Valproic acid,No Data
dibutyltin ,No Data
beta-aminoisobutyric acid,No Data
(-)-Hydroxycitric acid,No Data
Galegine,No Data
Ceramide C6,No Data
Diallyl trisulfide,No Data
Temsirolimus,No Data
Evorolimus,No Data
Icariin,No Data
2-Deoxyglucose,No Data
Trehalose ,No Data
Salicin,No Data
SB-431542-A,No Data
CHEMBL3746293,No Data
AKOS007866543,No Data
CHEMBL3798256,No Data
CHEMBL505187,No Data
CHEMBL3330255,No Data
Bisindolylmaleimide I,No Data
SCHEMBL2235492,No Data
CHEMBL188282,No Data
GSK248233A,No Data
CHEMBL182419,No Data
SRT1720,No Data
CHEMBL2425144,No Data
GSK994854A,No Data
CHEMBL1164265,No Data
GSK2219385A,No Data
GSK1030062A,No Data
CHEMBL3593290,No Data
GW795493X,No Data
GW621823A,No Data
GSK269962B,No Data
CHEMBL3133770,No Data
CHEMBL384407,No Data
CHEMBL389745,No Data
GSK2213727A,No Data
CHEMBL1254209,No Data
CHEMBL1271533,No Data
CHEMBL1271587,No Data
CHEMBL3728396,No Data
GW461104A,No Data
CHEMBL2386796,No Data
CHEMBL524901,No Data
GW768505A,No Data
GW618013A,No Data
CHEMBL207718,No Data
CHEMBL1164180,No Data
SB-210313,No Data
GW771127A,No Data
GSK1511931A,No Data
CHEMBL3727498,No Data
GW654652C,No Data
GW282449A,No Data
GW561436X,No Data
CHEMBL4248525,No Data
CHEMBL1933148,No Data
CHEMBL3732974,No Data
CHEMBL2063926,No Data
CHEMBL379601,No Data
CHEMBL2386802,No Data
GW568326X,No Data
CHEMBL3730376,No Data
Lapatinib,No Data
GW574783B,No Data
CHEMBL207815,No Data
GW827099X,No Data
CHEMBL208437,No Data
CHEMBL1165499,No Data
CHEMBL3731842,No Data
SB-686709-A,No Data
CHEMBL1164181,No Data
CHEMBL324153,No Data
GW305178X,No Data
CHEMBL361237,No Data
GW580496A,No Data
GSK561866B,No Data
SB-678557-A,No Data
GW461104A,No Data
CHEMBL3729638,No Data
CHEMBL4062803,No Data
CHEMBL425601,No Data
CHEMBL1233882,No Data
GW876790X,No Data
GW829115X,No Data
GW799251X,No Data
AKOS007872819,No Data
CHEMBL2017253,No Data
CHEMBL204420,No Data
CHEMBL380889,No Data
CHEMBL513330,No Data
GW806290X,No Data
CHEMBL206783,No Data
GW458787A,No Data
CHEMBL188268,No Data
GW568377A,No Data
CHEMBL2063681,No Data
GW574782A,No Data
CHEMBL188268,No Data
CHEMBL380006,No Data
CHEMBL485745,No Data
GW566221A,No Data
CHEMBL4209540,No Data
GW612286X,No Data
GSK949675A,No Data
CHEMBL4100387,No Data
CHEMBL1271641,No Data
AKOS007852427,No Data
CHEMBL376967,No Data
CHEMBL188240,No Data
GW780159X,No Data
CHEMBL207674,No Data
CHEMBL210963,No Data
CHEMBL207445,No Data
GW644007X,No Data
CHEMBL208048,No Data
SB-203580,No Data
TCS JNK 6o,No Data
CHEMBL379905,No Data
CHEMBL212250,No Data
GW827102X,No Data
GW578748X,No Data
SCHEMBL12282456,No Data
CHEMBL365072,No Data
GW832467X,No Data
CHEMBL4066664,No Data
CHEMBL208286,No Data
CHEMBL211003,No Data
CHEMBL3730041,No Data
GSK614526A,No Data
GW828525X,No Data
CHEMBL4069365,No Data
CHEMBL517907,No Data
CHEMBL189657,No Data
CHEMBL524057,No Data
CHEMBL2420899,No Data
CHEMBL2063669,No Data
GSK1023156A,No Data
CHEMBL3727949,No Data
CHEMBL378627,No Data
CHEMBL3775576,No Data
GSK554170A,No Data
GW284372X,No Data
CHEMBL382823,No Data
CHEMBL3319467,No Data
CHEMBL1163518,No Data
CHEMBL380386,No Data
SB-736290,No Data
SB 202190,No Data
GW300653X,No Data
GSK579289A,No Data
GW680975X,No Data
GW807930X,No Data
CHEMBL214198,No Data
CHEMBL3730933,No Data
CHEMBL2376143,No Data
CHEMBL2376152,No Data
CHEMBL2376153,No Data
GW679410X,No Data
GW804482X,No Data
CHEMBL2376144,No Data
L-779450,No Data
GW581744X,No Data
CHEMBL205765,No Data
CHEMBL62965,No Data
SB-610251-B,No Data
CHEMBL2152768,No Data
RSVA405,No Data
SB-476429-A,No Data
GW852849X,No Data
CHEMBL2325894,No Data
CHEMBL303351,No Data
GW569293E,No Data
CHEMBL3732638,No Data
GW275944X,No Data
GSK1030061A,No Data
CHEMBL3730313,No Data
GW788388,No Data
